Pizza_Name,Pizza_Size,total_sales,Order_Month
The Thai Chicken Pizza,L,117,1
The Barbecue Chicken Pizza,L,93,1
The California Chicken Pizza,M,86,1
The Southwest Chicken Pizza,L,73,1
The Chicken Alfredo Pizza,M,64,1
The Chicken Pesto Pizza,L,37,1
The Thai Chicken Pizza,L,93,2
The Southwest Chicken Pizza,L,82,2
The Barbecue Chicken Pizza,L,77,2
The California Chicken Pizza,M,77,2
The Chicken Alfredo Pizza,M,51,2
The Chicken Pesto Pizza,L,39,2
The Thai Chicken Pizza,L,117,3
The Barbecue Chicken Pizza,L,98,3
The Southwest Chicken Pizza,L,90,3
The California Chicken Pizza,M,78,3
The Chicken Alfredo Pizza,M,68,3
The Chicken Pesto Pizza,S,30,3
The Thai Chicken Pizza,L,113,4
The Barbecue Chicken Pizza,M,92,4
The Southwest Chicken Pizza,L,91,4
The California Chicken Pizza,M,75,4
The Chicken Alfredo Pizza,M,53,4
The Chicken Pesto Pizza,L,41,4
The Thai Chicken Pizza,L,111,5
The Southwest Chicken Pizza,L,90,5
The California Chicken Pizza,L,88,5
The Barbecue Chicken Pizza,L,87,5
The Chicken Alfredo Pizza,M,59,5
The Chicken Pesto Pizza,L,33,5
The Thai Chicken Pizza,L,112,6
The Barbecue Chicken Pizza,M,87,6
The California Chicken Pizza,M,86,6
The Southwest Chicken Pizza,L,73,6
The Chicken Alfredo Pizza,M,64,6
The Chicken Pesto Pizza,L,26,6
The Thai Chicken Pizza,L,128,7
The Southwest Chicken Pizza,L,89,7
The Barbecue Chicken Pizza,M,83,7
The California Chicken Pizza,L,71,7
The Chicken Alfredo Pizza,M,49,7
The Chicken Pesto Pizza,M,30,7
The Thai Chicken Pizza,L,101,8
The California Chicken Pizza,M,85,8
The Southwest Chicken Pizza,L,80,8
The Barbecue Chicken Pizza,M,75,8
The Chicken Alfredo Pizza,M,54,8
The Chicken Pesto Pizza,L,34,8
The Thai Chicken Pizza,L,119,9
The Southwest Chicken Pizza,L,85,9
The Barbecue Chicken Pizza,L,81,9
The California Chicken Pizza,M,73,9
The Chicken Alfredo Pizza,M,56,9
The Chicken Pesto Pizza,L,40,9
The Thai Chicken Pizza,L,110,10
The Southwest Chicken Pizza,L,82,10
The Barbecue Chicken Pizza,M,66,10
The California Chicken Pizza,L,65,10
The Chicken Alfredo Pizza,M,62,10
The Chicken Pesto Pizza,L,31,10
The Thai Chicken Pizza,L,112,11
The Barbecue Chicken Pizza,L,88,11
The California Chicken Pizza,L,86,11
The Southwest Chicken Pizza,L,84,11
The Chicken Alfredo Pizza,M,62,11
The Chicken Pesto Pizza,M,31,11
The Thai Chicken Pizza,L,132,12
The Barbecue Chicken Pizza,L,78,12
The California Chicken Pizza,M,76,12
The Southwest Chicken Pizza,L,74,12
The Chicken Alfredo Pizza,M,55,12
The Chicken Pesto Pizza,L,28,12
