Pizza_Code,category,Total_Amount
cali_ckn_s,Chicken,6362.25
bbq_ckn_s,Chicken,6171.00
thai_ckn_s,Chicken,6120.00
southw_ckn_s,Chicken,4679.25
ckn_pesto_s,Chicken,3799.50
ckn_alfredo_s,Chicken,1224.00
big_meat_s,Classic,22968.00
hawaiian_s,Classic,10710.00
classic_dlx_s,Classic,9588.00
pepperoni_s,Classic,7322.25
pep_msh_pep_s,Classic,6358.00
napolitana_s,Classic,5652.00
the_greek_s,Classic,3648.00
ital_cpcllo_s,Classic,3624.00
brie_carre_s,Supreme,11588.50
sicilian_s,Supreme,9199.75
prsc_argla_s,Supreme,5300.00
spicy_ital_s,Supreme,5087.50
spinach_supr_s,Supreme,5000.00
peppr_salami_s,Supreme,4025.00
soppressata_s,Supreme,3600.00
ital_supr_s,Supreme,2450.00
calabrese_s,Supreme,1212.75
green_garden_s,Veggie,7200.00
veggie_veg_s,Veggie,5568.00
spinach_fet_s,Veggie,5268.00
spin_pesto_s,Veggie,5050.00
ital_veggie_s,Veggie,3888.75
mediterraneo_s,Veggie,3468.00
mexicana_s,Veggie,1944.00
